timestamp_anon,value,container_ip
1662859290.0,14752.0,07ff74bdf1b06c02945c40819ec1d38e
1662859347.0,12773.5,0b6beb4d383cbd13d128b205a7b09313
1662859347.0,71687.0,086b31f81b1cf0f15e43fe568e3fb8e4
1662859347.0,69216.0,47d94ec84e80267e738db2caca3d9184
1662859404.0,10907.5,0b6beb4d383cbd13d128b205a7b09313
1662859404.0,14723.0,47d94ec84e80267e738db2caca3d9184
1662859461.0,41446.0,03dc060838ef05053bdea6d483cde7e5
1662859518.0,11246.0,47d94ec84e80267e738db2caca3d9184
1662859575.0,68637.0,2e6ae9139876748af8cf4e03e8d5cd77
1662859575.0,72130.0,3ed83727fd0a4a21f681882036a57972
1662859632.0,72740.0,87c154e38b8914909c4ed0f20e72a361
1662859632.0,10724.0,03dc060838ef05053bdea6d483cde7e5
1662859689.0,74624.0,0ec705c2842d35b28efbea446e2c9255
1662859689.0,14668.5,2e6ae9139876748af8cf4e03e8d5cd77
1662859689.0,72088.0,23b8eba99c14e73d454503a55ae96989
1662859689.0,11343.0,83cdea8775aa4c90f4cda237e9efe1d1
1662859689.0,10968.0,572e877aee4f4b6fe8a4f1fab4aa5dd4
1662859746.0,71336.0,03dc060838ef05053bdea6d483cde7e5
1662859746.0,14590.0,23b8eba99c14e73d454503a55ae96989
1662859746.0,68770.0,87c154e38b8914909c4ed0f20e72a361
1662859803.0,17627.0,3ed83727fd0a4a21f681882036a57972
1662859803.0,14898.0,7b22f291523785e52e52ce3409760c39
1662859803.0,71524.0,0ec705c2842d35b28efbea446e2c9255
1662859860.0,67955.0,87c154e38b8914909c4ed0f20e72a361
1662859917.0,11229.0,572e877aee4f4b6fe8a4f1fab4aa5dd4
1662859917.0,15222.0,87c154e38b8914909c4ed0f20e72a361
1662859917.0,71667.0,23b8eba99c14e73d454503a55ae96989
1662859917.0,73406.0,3ed83727fd0a4a21f681882036a57972
1662859917.0,16599.5,0ec705c2842d35b28efbea446e2c9255
1662859974.0,14931.0,6dcc7f244fba016765742bf41e7605e9
1662859974.0,11043.0,2e6ae9139876748af8cf4e03e8d5cd77
1662859974.0,11978.0,7b22f291523785e52e52ce3409760c39
1662860031.0,11248.0,7b22f291523785e52e52ce3409760c39
1662860031.0,16185.0,3ed83727fd0a4a21f681882036a57972
1662860088.0,71605.0,6dcc7f244fba016765742bf41e7605e9
