timestamp_anon,value,container_ip
1662858720.0,19106.0,63beb1b84354963cd40aa5fbdac96110
1662859233.0,17536.0,fd0116f494569215a44314670a86eeb3
1662859290.0,8722.0,07ff74bdf1b06c02945c40819ec1d38e
1662859347.0,68392.0,47d94ec84e80267e738db2caca3d9184
1662859347.0,8434.0,0b6beb4d383cbd13d128b205a7b09313
1662859347.0,67528.0,086b31f81b1cf0f15e43fe568e3fb8e4
1662859404.0,14670.5,dfe00e981377fa8e0a9aefbc9b2e9369
1662859404.0,8459.0,47d94ec84e80267e738db2caca3d9184
1662859404.0,8442.5,0b6beb4d383cbd13d128b205a7b09313
1662859404.0,19017.5,35bb9f389301b325c443320fe0466a46
1662859461.0,14702.5,cbfb6b40cb1caa54ab6de789bb801645
1662859461.0,37960.5,03dc060838ef05053bdea6d483cde7e5
1662859518.0,11436.0,ff0a53d0bc20c807643d80daf7c71887
1662859518.0,8751.0,47d94ec84e80267e738db2caca3d9184
1662859575.0,67872.0,2e6ae9139876748af8cf4e03e8d5cd77
1662859575.0,10925.0,ff0a53d0bc20c807643d80daf7c71887
1662859575.0,68145.0,3ed83727fd0a4a21f681882036a57972
1662859632.0,8239.0,03dc060838ef05053bdea6d483cde7e5
1662859632.0,68217.0,87c154e38b8914909c4ed0f20e72a361
1662859689.0,8485.0,83cdea8775aa4c90f4cda237e9efe1d1
1662859689.0,19188.0,96c64ba31f81010967b49666a3a0990c
1662859689.0,67464.0,23b8eba99c14e73d454503a55ae96989
1662859689.0,8279.0,572e877aee4f4b6fe8a4f1fab4aa5dd4
1662859689.0,8479.5,2e6ae9139876748af8cf4e03e8d5cd77
1662859689.0,69939.0,0ec705c2842d35b28efbea446e2c9255
1662859689.0,19651.0,64da6457529be15c3704c13cc1b12c24
1662859689.0,19162.0,723a4269ab876cb161b58f5d3f14aad1
1662859746.0,68073.0,87c154e38b8914909c4ed0f20e72a361
1662859746.0,8556.0,23b8eba99c14e73d454503a55ae96989
1662859746.0,67234.0,03dc060838ef05053bdea6d483cde7e5
1662859803.0,10214.0,3ed83727fd0a4a21f681882036a57972
1662859803.0,15944.0,3ef73f9da3d17237b1248d3ed3f80ca8
1662859803.0,8750.0,7b22f291523785e52e52ce3409760c39
1662859803.0,70756.0,0ec705c2842d35b28efbea446e2c9255
1662859803.0,14248.0,53843228d151577c6d962cc43263a598
1662859803.0,14491.0,cbfb6b40cb1caa54ab6de789bb801645
1662859860.0,67284.0,87c154e38b8914909c4ed0f20e72a361
1662859860.0,9834.0,0ec705c2842d35b28efbea446e2c9255
1662859860.0,12898.0,11415d99a127e215d2148a1f6600007f
1662859917.0,9366.0,0ec705c2842d35b28efbea446e2c9255
1662859917.0,8370.0,87c154e38b8914909c4ed0f20e72a361
1662859917.0,69303.0,3ed83727fd0a4a21f681882036a57972
1662859917.0,67528.0,23b8eba99c14e73d454503a55ae96989
1662859917.0,20174.0,081177dd05d758b23a62391e75a1bb34
1662859917.0,8522.0,572e877aee4f4b6fe8a4f1fab4aa5dd4
1662859974.0,8751.0,6dcc7f244fba016765742bf41e7605e9
1662859974.0,8789.0,7b22f291523785e52e52ce3409760c39
1662859974.0,8431.0,2e6ae9139876748af8cf4e03e8d5cd77
1662860031.0,9439.0,3ed83727fd0a4a21f681882036a57972
1662860031.0,18564.0,3b90a898e6de1e8df928ac6175f92bde
1662860031.0,8721.0,7b22f291523785e52e52ce3409760c39
1662860031.0,17382.0,31408984596c7411b56cfc43d280bc02
1662860031.0,68519.0,47d94ec84e80267e738db2caca3d9184
1662860088.0,18865.0,e912439b988c0f3e26118d84d923f677
1662860088.0,8572.0,086b31f81b1cf0f15e43fe568e3fb8e4
1662860088.0,18672.0,a3466e4941ffb60d69c82e6354ee3097
1662860088.0,14643.0,081177dd05d758b23a62391e75a1bb34
