timestamp_anon,value,container_ip
1662859176.0,7109.0,7c921d2bb994a9d8b5300708a519c46d
1662859290.0,4018.0,58c43bcd9763c4cc785712bb28ba86fc
1662859290.0,826.0,086b31f81b1cf0f15e43fe568e3fb8e4
1662859347.0,5641.0,35bb9f389301b325c443320fe0466a46
1662859404.0,3874.0,35bb9f389301b325c443320fe0466a46
1662859404.0,5139.0,cbfb6b40cb1caa54ab6de789bb801645
1662859404.0,737.0,47d94ec84e80267e738db2caca3d9184
1662859461.0,5060.0,cbfb6b40cb1caa54ab6de789bb801645
1662859461.0,786.0,03dc060838ef05053bdea6d483cde7e5
1662859518.0,787.0,3ed83727fd0a4a21f681882036a57972
1662859575.0,797.0,23b8eba99c14e73d454503a55ae96989
1662859632.0,866.0,0ec705c2842d35b28efbea446e2c9255
1662859632.0,753.0,2e6ae9139876748af8cf4e03e8d5cd77
1662859689.0,862.0,03dc060838ef05053bdea6d483cde7e5
1662859689.0,4188.0,dfe00e981377fa8e0a9aefbc9b2e9369
1662859689.0,6090.0,64da6457529be15c3704c13cc1b12c24
1662859746.0,5886.0,35bb9f389301b325c443320fe0466a46
1662859746.0,5757.0,ee7b3de9b30f3565fb995abe7f10a846
1662859746.0,764.0,23b8eba99c14e73d454503a55ae96989
1662859803.0,6095.0,cbfb6b40cb1caa54ab6de789bb801645
1662859803.0,799.0,3ed83727fd0a4a21f681882036a57972
1662859803.0,4441.0,3ef73f9da3d17237b1248d3ed3f80ca8
1662859803.0,3696.0,53843228d151577c6d962cc43263a598
1662859860.0,778.0,3ed83727fd0a4a21f681882036a57972
1662859860.0,5987.0,081177dd05d758b23a62391e75a1bb34
1662859860.0,3976.0,df3235eae04c7621c688ab5ee3ccf8de
1662859860.0,799.0,87c154e38b8914909c4ed0f20e72a361
1662859860.0,834.0,0ec705c2842d35b28efbea446e2c9255
1662859860.0,4956.0,81202f3feffc31e32dbfcb7c74b72b61
1662859917.0,762.0,0ec705c2842d35b28efbea446e2c9255
1662859917.0,3525.0,081177dd05d758b23a62391e75a1bb34
1662859974.0,7183.0,e87d4367d48235f575e55c0e30231cfc
1662859974.0,787.0,6dcc7f244fba016765742bf41e7605e9
1662859974.0,4330.0,47b8e9570e070b44b42aea42847314c2
1662860031.0,785.0,3ed83727fd0a4a21f681882036a57972
1662860031.0,847.0,6dcc7f244fba016765742bf41e7605e9
1662860031.0,3649.5,31408984596c7411b56cfc43d280bc02
1662860031.0,4350.0,3b90a898e6de1e8df928ac6175f92bde
