timestamp_anon,value,container_ip
1662859176.0,4775.0,7c921d2bb994a9d8b5300708a519c46d
1662859347.0,5515.0,35bb9f389301b325c443320fe0466a46
1662859404.0,3098.0,35bb9f389301b325c443320fe0466a46
1662859404.0,27384.0,cbfb6b40cb1caa54ab6de789bb801645
1662859461.0,14107.0,cbfb6b40cb1caa54ab6de789bb801645
1662859518.0,2916.0,ff0a53d0bc20c807643d80daf7c71887
1662859689.0,4598.0,dfe00e981377fa8e0a9aefbc9b2e9369
1662859689.0,5040.0,64da6457529be15c3704c13cc1b12c24
1662859689.0,4923.0,723a4269ab876cb161b58f5d3f14aad1
1662859746.0,6005.0,ee7b3de9b30f3565fb995abe7f10a846
1662859803.0,5326.0,cbfb6b40cb1caa54ab6de789bb801645
1662859803.0,3662.0,53843228d151577c6d962cc43263a598
1662859803.0,4341.0,3ef73f9da3d17237b1248d3ed3f80ca8
1662859860.0,23628.0,081177dd05d758b23a62391e75a1bb34
1662859860.0,4458.0,df3235eae04c7621c688ab5ee3ccf8de
1662859917.0,11646.0,081177dd05d758b23a62391e75a1bb34
1662859974.0,4268.0,47b8e9570e070b44b42aea42847314c2
1662859974.0,5667.0,e87d4367d48235f575e55c0e30231cfc
1662860031.0,4204.0,3b90a898e6de1e8df928ac6175f92bde
1662860031.0,3364.5,31408984596c7411b56cfc43d280bc02
1662860088.0,6130.0,a3466e4941ffb60d69c82e6354ee3097
1662860088.0,3760.0,e912439b988c0f3e26118d84d923f677
1662860088.0,6017.0,777fe76b24e39e6c7e82c5a8b4a4a278
1662860316.0,5021.0,6ebc62069627eabf9bf6659d9a78d228
1662860373.0,14662.0,3b90a898e6de1e8df928ac6175f92bde
1662860430.0,424.0,3b90a898e6de1e8df928ac6175f92bde
1662860430.0,4866.0,6517ff385a38c966b7c2a708c03f3f8a
1662860430.0,4396.0,d9a22a02d2ceb58ec16737de30e46541
1662860487.0,2306.0,d9a22a02d2ceb58ec16737de30e46541
1662860487.0,4119.0,fd0116f494569215a44314670a86eeb3
1662860487.0,3770.0,6aa82f708c1321cd86dacb1289082ae0
1662860544.0,3931.0,11415d99a127e215d2148a1f6600007f
1662860544.0,5288.0,41f81ea9810a29e8ba32801ef7d30271
1662860544.0,3959.0,5fdedd2294394e05b05e2eb178a7828b
1662860544.0,4055.0,e912439b988c0f3e26118d84d923f677
1662860544.0,3452.0,3fa8c0fcbd73508ae6cf1c521d80c208
1662860601.0,2122.0,e912439b988c0f3e26118d84d923f677
1662860658.0,3845.0,e912439b988c0f3e26118d84d923f677
1662860658.0,3818.0,d9a22a02d2ceb58ec16737de30e46541
1662860715.0,2392.0,e912439b988c0f3e26118d84d923f677
1662860715.0,2052.0,d9a22a02d2ceb58ec16737de30e46541
1662860715.0,13470.0,31408984596c7411b56cfc43d280bc02
1662860772.0,6171.0,4d5a5c26f37c024018e644831c36ccbf
1662860772.0,4554.0,2a879423614836f63138bd4162830d8b
1662860772.0,6523.0,25da09a77268ccc99a7968b3e453b8f0
1662860772.0,5771.0,0e1fe71a611f28739fe7fc6915583da0
1662860772.0,26488.0,aa387669ec783d3503866571da0357f2
1662860772.0,3152.5,bfa90d30d1e44bf2416876b624184cdb
1662860772.0,5302.0,584f6be687a198a5ba43e56455ee25cc
1662860772.0,4270.5,081177dd05d758b23a62391e75a1bb34
1662860829.0,4732.5,25da09a77268ccc99a7968b3e453b8f0
1662860829.0,2181.0,2a879423614836f63138bd4162830d8b
1662860829.0,5273.0,081177dd05d758b23a62391e75a1bb34
1662860829.0,4448.0,ae4a8bfb2bc417cc15578aea9d4027c1
1662860886.0,2349.0,ae4a8bfb2bc417cc15578aea9d4027c1
